Title,Categories,Description
Extinction Rates,Science,"There is increasing need for good estimates of impending rates of extinction of plant and animal species, based on an understanding of extinction rates in the recent and far past, and on the underlying ecological and evolutionary causes. This book provides a more wide-ranging and data-driven treatment of current and likely future extinction rates than has previously been drawn together in one place. It is directed broadly at senior undergraduates, postgraduate students, and research workers in the general fields of ecology, conservation biology, and the environmental sciences. The authors highlight apparent differences in extinction rates among taxonomic groups and places, aiming to identify unresolved issues and important questions."
Spanish Grammar,"Language Teaching & Learning Material & Coursework,Language Self-study Texts","Written for people both with and without prior knowledge of grammatical terminology, this book explains grammar points simply with plenty of examples to illustrate each point. It is structured so that readers can look up language forms according to what they want to say, without knowing the grammatical terms. For those with some grammar, there is a reference grammar section at the back of the book."
Neutral Buoyancy,Travel,"A brilliant mix of vivid reportage, history and science. Historical diving bells, greek sponge divers, world war two frogmen and record-setting breath hold divers compete for space with misunderstood sharks, weeping turtles, smiling dolphins and erotically shaped sea slugs. From Ireland to Florida, Papua New Guinea to Vienna and the Bahamas to Seychelles, Neutral Buoyancy is travel writing of the most fascinating, readable kind; providing a window - or a view from a glass bottomed boat - on a rich, unfamiliar and unique destination. Travel writing of this quality makes Neutral Buoyancy a must for all armchair travellers, not just divers."
Bayesian Nets and Causality: Philosophical and Computational Foundations,Computers,"Bayesian nets are used in artificial intelligence as a calculus for causal reasoning, enabling machines to make predictions perform diagnoses, take decisions and even to discover causal relationships. This book brings together how to automate reasoning in artificial intelligence, and the nature of causality and probability in philosophy."
Compass,History,"""The compass's rocky evolution is charted with an enthusiast's passion…A fascinating adventure."" —Bernadette Murphy, Los Angeles Times
This is the rich history of the most important navigational device of all time, the magnetic compass, born of the need for a reliable means of negotiating treacherous sea routes around the globe. Compass chronicles the misadventures of those who attempted to perfect the instrument—so precious to sixteenth-century seamen that, by law, any man found tampering with one had his hand pinned to the mast with a dagger. Part history, part adventure, this book is a compelling tribute to human ingenuity—and the mysteries of the sea."
The Golden Ratio,Number Theory,"Throughout history, thinkers from mathematicians to theologians have pondered the mysterious relationship between numbers and the nature of reality. In this fascinating book, Mario Livio tells the tale of a number at the heart of that mystery: phi, or 1.6180339887...This curious mathematical relationship, widely known as ""The Golden Ratio,"" was discovered by Euclid more than two thousand years ago because of its crucial role in the construction of the pentagram, to which magical properties had been attributed. Since then it has shown a propensity to appear in the most astonishing variety of places, from mollusk shells, sunflower florets, and rose petals to the shape of the galaxy. Psychological studies have investigated whether the Golden Ratio is the most aesthetically pleasing proportion extant, and it has been asserted that the creators of the Pyramids and the Parthenon employed it. It is believed to feature in works of art from Leonardo da Vinci's Mona Lisa to Salvador Dali's The Sacrament of the Last Supper, and poets and composers have used it in their works. It has even been found to be connected to the behavior of the stock market!

The Golden Ratio is a captivating journey through art and architecture, botany and biology, physics and mathematics. It tells the human story of numerous phi-fixated individuals, including the followers of Pythagoras who believed that this proportion revealed the hand of God; astronomer Johannes Kepler, who saw phi as the greatest treas..."
HEAT: A Southeast Asian Urban Anthology,"Short stories,English","HEAT is part of a threesome of Southeast Asian urban anthologies. The other two are called FLESH and TRASH. We chose to interpret ‘urban’ as a state of mind rather than population count or infrastructural development, so a few of these stories and essays take place in very remote places indeed. But they shake it up, they twist and shout, they wanna show you what it’s all about.

Featuring work by: Gabriela Lee, Zed Adam Idris, Vina Jie-Min Prasad, Rewat Panpipat (translated by Marcel Barang), Nikki Alfar, Joseph Ng, O Thiam Chin, Christine V. Lao, Alexander Marcos Osias, Catalina Rembuyan, Hồn Du Mục, Maf Deparis & Ivery del Campo, Diyana Sastrawati, Peter Zaragoza Mayshle, Lee Ee Leen, Zedeck Siew, Bonnie Etherington and Julie Koh."
We'll Always Have Paris,"Classic Science Fiction,Short Stories","In this collection of stories, follow a space shuttle crew as they voyage sixty million miles from home, discover what happens when a writer 'with the future's eye' believes his friend to be writing stories aboard a UFO, and listen in on a couple talking themselves backwards through time to the moment when they first held hands."
Penguin Press 70s Assault Of Jerusalem,History,"One of the greatest historical writers of the twentieth century, Steven Runciman was famous for throwing light on some very dark ages: his definitive A History of the Crusades, first published by Penguin in 1965, transformed the common view of the Holy Wars through its impartial and penetrating approach. In this extract, he describes the brutal and decisive tenth-century victory of the crusaders over Arab forces in Jerusalem, occupied for over four hundred years."
Great Journeys Escape From The Antarctic,Travel,"Although Shackleton's (1874-1922) epic expedition (which began in 1914) to reach the South Pole was a complete disaster when their ship, The Endurance, was crushed by ice and the crew was marooned, it was rescued from absurdity by his heroic, terrifying crossing of the Southern Ocean in a small boat to a whaling station on South Georgia. Through one of the greatest recorded feats of navigation and of leadership, he overcame almost impossible odds and rescued every one of his men from otherwise certain death."
Tractatus Logico-Philosophicus,"History Of Western Philosophy,Western Philosophy, From C 1900 -,Philosophy: Logic","Perhaps the most important work of philosophy written in the twentieth century, Tractatus Logico-Philosophicus was the only philosophical work that Ludwig Wittgenstein published during his life. Written in short, carefully numbered paragraphs of extreme brilliance, it captured the imagination of a generation of philosophers. For Wittgenstein, logic was something we use to conquer a reality which is in itself both elusive and unobtainable. He famously summarized the book in the following words: 'What can be said at all can be said clearly; and what we cannot talk about we must pass over in silence.' David Pears and Brian McGuinness received the highest praise for their meticulous translation. The work is prefaced by Bertrand Russell's original introduction to the first English edition."
"Drowned World, The","FICTION/Literary,FICTION/Urban","This fast-paced narrative by the author of Crash and Empire of the Sun is a stunning evocation of a flooded, tropical London of the near future and a foray into the workings of the unconscious mind. 

Ballard imagines a future world in which global warming has melted the ice-caps and primordial jungles and swamps have returned to a tropical London. As various members of an expedition to the city busy themselves with more or less futile schemes like draining Leicester Square in hope of loot, the central character Kerans moves to a strange acceptance of and assimilation by this lushly transformed world, vanishing into a final epiphany of heat and light. 

The Drowned World is a potent, sensual mood-piece - jewelled and unforgettable."
"Just Six Numbers The Deep Forces That Shape the Universe by Rees, Martin J. ( Author ) ON Oct-05-2000, Paperback","Science: General Issues,Cosmology & The Universe,Popular Astronomy & Space",The Astronomer Royal shows how the behaviour and origins of the universe can be explained by just six numbers
While the Billy Boils,"Short stories,Australian",
The Old Dragon's Head,Fantasy,"Constructed of stone and packed earth, the Great Wall of 10,000 li protects China’s northern borders from the threat of Mongol incursion. The wall is also home to a supernatural beast: the Old Dragon. The Old Dragon’s Head is the most easterly point of the wall, where it finally meets the sea. In every era, a Dragon Master is born. Endowed with the powers of Heaven, only he can summon the Old Dragon so long as he possess the dragon pearl. It’s the year 1400, and neither the Old Dragon, the dragon pearl, nor the Dragon Master, has been seen for twenty years. Bolin, a young man working on the Old Dragon’s Head, suffers visions of ghosts. Folk believe he has yin-yang eyes and other paranormal gifts.When Bolin’s fief lord, the Prince of Yan, rebels against his nephew, the Jianwen Emperor, a bitter war of succession ensues in which the Mongols hold the balance of power. While the victor might win the battle on earth, China’s Dragon Throne can only be earned with a Mandate from Heaven – and the support of the Old Dragon. Bolin embarks on a journey of self-discovery, mirroring Old China’s endeavour to come of age. When Bolin accepts his destiny as the Dragon Master, Heaven sends a third coming of age – for humanity itself. But are any of them ready for what is rising in the east?"
Killer In The Rain,"Mystery & Suspense,Mystery & Detective","'When in doubt, have a man come through a door with a gun in his hand. This could get to be pretty silly, but somehow it didn't seem to matter...' - Raymond Chandler
First published in the Thirties in Black Mask, these eight stories see Chandler already master of his art. Killer in the Rain, The Curtain, Bay City Blues - all of them come charged with the authentic smell of fear that caused Elizabeth Bowen to acclaim Chandler as 'not just one more detective writer - he is a craftsman so brilliant, he has an imagination so wholly original, that no consideration of modern American literature ought, I think, to exclude him'."
Afterliff,"History,Reference","A liff is a familiar object or experience that English has no word for. Afterliff, its long-awaited sequel, corrects this disgraceful oversight by recycling the names found on signposts. This brilliant successor to Douglas Adams' and John Lloyd's 1983 classic The Meaning of Liff features over 900 essential new definitions, including:

 Anglesey n. 
Hypothetical object at which a lazy eye is looking.

 Badlesmeare n. 
One who dishonestly ticks the 'I have read and agree to the Terms and Conditions' box.

 Caterham n. 
An overwhelming desire to use the Pope's hat as an oven glove.

 Clavering ptcpl v. 
Pretending to text when alone and feeling vulnerable in public.

 Eworthy adj. 
Of a person: worth emailing but not worth phoning or meeting.

 Kanumbra n. 
The sense that someone is standing behind you.

 Ljubljana interj. 
What people say to the dentist on the way out.

 Loughborough n. 
The false gusto with which children eat vegetables in adverts.

 Sorrento n. 
The thing that goes round and round as a YouTube video loads.

 Uralla n. 
A towel used as a bathmat. 

 In 1983, John Lloyd and Douglas Adams authored The Meaning of Liff, a bestselling humour classic which went on to sell hundreds of thousands of copies. John Lloyd's other books include 1,411 QI Facts To Knock You Sideways and The Book of General Ignorance."
The Meaning of Liff,Humour,"In life and, indeed, in liff, there are many hundreds of common experiences, feelings, situations and even objects which we all know and recognize, but for which no words exist. This text uses place names to describe some of these meanings."
Galápagos,"Science Fiction,Fantasy,Short Stories","The human survivors of the nature cruise of the century, are quietly evolving into sleek, furry creatures with flippers and small brains. All other forms of humankind have ceased to exist, made redundant by their prized big brains. From the author of Slaughterhouse 5."
The Human Use of Human Beings: Cybernetics and Society,"Cybernetics & Systems Theory,Society & Culture: General,Science: General Issues","Only a few books stand as landmarks in social and scientific upheaval. Norbert Wiener's classic is one in that small company. Founder of the science of cybernetics—the study of the relationship between computers and the human nervous system—Wiener was widely misunderstood as one who advocated the automation of human life. As this book reveals, his vision was much more complex and interesting. He hoped that machines would release people from relentless and repetitive drudgery in order to achieve more creative pursuits. At the same time he realized the danger of dehumanizing and displacement. His book examines the implications of cybernetics for education, law, language, science, technology, as he anticipates the enormous impact—in effect, a third industrial revolution—that the computer has had on our lives."
Half Asleep in Frog Pajamas,Contemporary Fiction,"A paperback original, which describes a bizarre weekend through the eyes of a young broker who has just experienced a stockmarket crash. From the author of EVEN COWGIRLS GET THE BLUES."
I Flew for the Führer,Biography & Autobiography,"""Heinz Knoke was one of the outstanding German fighter pilots of the Second World War and this vivid record of his experiences has become a classic among aviation memoirs. He joined the Luftwaffe on the outbreak of war, eventually becoming commanding officer of a fighter wing. An outstandingly brave and skilful fighter, he logged over two thousand flights, four hundred operational missions and was officially credited with thirty-three combat wins. He was awarded the Knight's Cross for his achievements."" ""I Flew for the Fuhrer reveals his intense patriotism and discipline. He describes his upbringing in the strict Prussian tradition, the impact of the coming of the Nazi regime, his wartime career and everyday life in the Luftwaffe, and the utter desolation he experienced when the end came and the war was lost.""--Jacket."
The Code Book: The Secret History of Codes and Code-Breaking,"Coding Theory & Cryptology,Teaching Resources & Education,Popular Science","Combining impeccable history and intriguing stories of espionage and intellectual breakthroughs, this riveting bestseller, by the author of the popular science classic Fermat's Last Theorem, brings to life the secret world of cryptographers and code-breakers from Ancient Egypt to the age of the internet."
Voices from Chernobyl: The Oral History of a Nuclear Disaster,"Biography: General,General & World History,European History","Winner of the Nobel Prize in Literature
Winner of the National Book Critics Circle Award A journalist by trade, who now suffers from an immune deficiency developed while researching this book, presents personal accounts of what happened to the people of Belarus after the nuclear reactor accident in 1986, and the fear, anger, and uncertainty that they still live with. The Nobel Prize in Literature 2015 was awarded to Svetlana Alexievich ""for her polyphonic writings, a monument to suffering and courage in our time."""
Danger Uxb,"Thrillers,Adventure",
The Bacchae and Other Plays,"Literary Collections,Ancient & Classical,Poetry","The plays of Euripides have stimulated audiences since the fifth century BC. This volume, containing Phoenician Women, Bacchae, Iphigenia at Aulis, Orestes, and Rhesus
completes the new editions of Euripides in Penguin Classics. * Features a general introduction, individual prefaces to each play, chronology, notes, bibliography, and glossary"
Genograms In Family Assessment,Psychology,"Widely used by both family therapists and family physicians, the genogram is a graphic way of organizing the mass of information gathered during a family assessment and finding patterns in the family system. Both entertaining and instructive, this book is the ideal way to introduce all those involved in family treatment to this essential assessment tool."
Genograms,"Psychology,Couples & Family","Widely used by both family therapists and all health care professionals, the genogram is a graphic way of organizing the mass of information gathered during a family assessment and finding patterns in the family system for more targeted treatment.

Now updated and expanded in its third edition, and featuring revised genograms for easier reading, reflecting the growing and widespread use of genograms for clinical intervention, this best-selling text provides a standard method for constructing a genogram, doing a genogram interview, and interpreting the results. Genograms of famous families—Sigmund Freud, Woody Allen and Mia Farrow, the Kennedys, Jane Fonda and Ted Turner, Bill Clinton, Princess Diana, the Roosevelts, and Thomas Jefferson, to name a few—bring the text to life, and help to elucidate the principles of family systems theory and systemic interviewing, which form the basis of genogram work. Once these principles have been explained, the authors go on to present the important clinical applications of genograms in both family therapy and family medicine. These applications include the effective assessment of patients’ risk for emotional problems such as anxiety or depression; structural patterns among families such as divorce and remarriage; relationship patterns such as enmeshment, conflicts, and cut-offs; recent and chronic life stressors such as pregnancy, acute illness, poverty, and racism; and family life cycle transitions and developmental crises, among other..."
"Family matters: Designing, analysing and understanding family based studies in life course epidemiology (A Life Course Approach to Adult Health)",Family & Relationships,"Life course epidemiology considers how adult health is affected by a variety of factors and influences over the entire life-course. This book provides the reader with the knowledge and skills to design, analyse, and correctly interpret family-based studies, which are increasingly being used to explore life course epidemiology."
Information System Specification and Design Road Map,Management information systems,
Software System Development: A Gentle Introduction (The McGraw-Hill International Series in Software Engineering),Computers,"This book follows the development of a system from the initial idea through to the completed software product. Keen to highlight the practicalities of developing systems, there is a continuous case study running throughout the book which demonstrates many of the problems the developer faces in real life situations."
Grebes: Podicipedidae (Bird Families of the World),Science,"Grebes are unusual and fascinating birds, with spectacular courtship behaviour and floating nests which enable them to spend their entire lives in water. In he Grebes, Jon Fjeldså provides a comprehensive and up-to-date account of their origin and evolution, biology, and how they have adapted to exploit their environment, beautifully illustrated with maps, line figures, and his own stunning paintings, in full colour."
The Hawaiian Honeycreepers: Drepanidinae (Bird Families of the World),Nature,Publisher Description
The Classification of Stars,Science,"The classification of stars into their various types is one of the fundamental areas of astronomy. This book is a comprehensive handbook on the tools, methods and results of stellar taxonomy. Although this subject is firmly rooted in classical astronomy, vast improvements in observational techniques have transformed the subject and greatly broadened the wavelength regions available for study. The first six chapters describe modern methods of spectroscopic and photometric classification. The remaining nine chapters describe particular families of stars, progressing from the hottest to the coolest. Within each category a description is given of the normal type and all the peculiar stars. Throughout the emphasis is on the phenomenology of classification, rather than the underlying astrophysics. Both authors have devoted themselves to developing the international centre for stellar data at Strasbourg, which uniquely qualifies them to write this definitive handbook for professional astronomers."
The Making of the Atomic Bomb,"General & World History,History Of The Americas,20th Century History: C 1900  To C 2000","Here for the first time, in rich, human, political, and scientific detail, is the complete story of how the bomb was developed, from the turn-of-the-century discovery of the vast energy locked inside the atom to the dropping of the first bombs on Japan.

Few great discoveries have evolved so swiftly -- or have been so misunderstood. From the theoretical discussions of nuclear energy to the bright glare of Trinity there was a span of hardly more than twenty-five years. What began as merely an interesting speculative problem in physics grew into the Manhattan Project, and then into the Bomb with frightening rapidity, while scientists known only to their peers -- Szilard, Teller, Oppenheimer, Bohr, Meitner, Fermi, Lawrence, and yon Neumann -- stepped from their ivory towers into the limelight.

Richard Rhodes takes us on that journey step by step, minute by minute, and gives us the definitive story of man's most awesome discovery and invention."
The Guinness book of astronomy,Astronomy,"Intended for amateur enthusiasts and professional astronomers alike, this reference book reflects the many developments in the world of astronomy since the fourth edition was published. These include the comet impact on Jupiter, powerful telescopes such as the improved Hubble Space Telescope, recent theories about the origins of the universe, and planetary explorations by spacecraft. The book also contains a detailed star catalogue with finder charts, solar and lunar eclipses up to the year 2006, and potted sections on glows and atmospheric effects, star distances and movements, variable stars, clusters and nebulae. Lighter anecdotes tell of events such as the only cricket match to be interrupted by an eclipse, the narrowest escape anyone has had from a meteorite, and the asteroid that had its name auctioned off."
Lagrangian Interaction,,
"Concurrent Systems: An Integrated Approach to Operating Systems, Database, and Distributed Systems (International Computer Science Series)",Parallel processing (Electronic computers),"A text intended as a modern replacement for a first course in operating systems modern in the sense that concurrency is a central focus throughout; distributed systems are treated as the norm rather than single-processor systems, and effective links are provided to other systems courses. It is also"
One Virgin Too Many,"Biography & Memoir,Biography & Autobiography","Falco is back from North Africa, with new-found respectability and a dead brother-in-law to cope with. Appointed to a post in the religious hierarchy, keeper of the city's sacred geese, Davis's imperial Roman sleuth soon finds himself caught up in the murder of a member of one of the sacred brotherhoods and the disappearance of the most likely new candidate for the order of vestal virgins. His wife's brother tripped over the first of these and he himself was approached by the virgin, a small, frighteningly upper-class girl, and asked to help with her fears that one of her family meant her harm. Davis's command of the complexities of Roman society and attitudes has rarely been so impressively on display; Falco's world moves between the comic, the tragic and the horrid without missing a beat, or a trick. The portrait of the Emperor Vespasian that has intermittently grown up in the background of these excellent historical thrillers acquires more areas of light and shadow, and the love story of the low-rent public informer Falco and his aristocratic wife Julia becomes more touching. Davis's last book Two For the Lions won the Crime Writers Association Golden Dagger for historical thrillers. --Roz Kaveney"
Modern Guitar Method Grade 4,Music,"Now clearly at the intermediate level, Grade 4 begins by introducing the E majorscale in three octaves plus the principal chords in E major. The C# harmonic andmelodic minor scales are introduced followed by a wealth of carefully arranged solo and duet study material in various keys in the fourth, fifth, seventh, and ninthposition. Three basic shapes for major and minor chords are reviewed through chord studies in various keys through the seventh position. Theory lessons address identification of intervals, the dominant seventh chord, and modulation.Written in standard notation only. Online audio download available"
Jake's Thing,Contemporary Fiction,"In This Hilarious, Outrageous And Wickedly Funny Story Of Jake And His Lost Libido, Kingsley Amis Does Not Pull Any Punches, But Takes Some Well-aimed Swipes At The Crankier Fringes Of Psychotherapy And At Sex--1970s Style. This Is It -- The Farting Ploughboy -- Domestic Interior -- Thunderball -- Business-head And Carter-face -- Focusing Session -- Are You Disturbed? -- Informal Basis -- Guilt And Shame -- Wanker! -- Academic Study -- I Have Heard Of Your Paintings Too -- Can I Take You Out To Dinner? -- Sexual Act -- At Mr Shyster's -- At Mr Shyster's (continued) -- Exposing Ed -- Eve's Thing -- That Lazy Feeling -- Girls Everywhere -- I Can Help You -- Phallus's End -- Extreme Bourgeois Puritan Conventionality -- Something I Want To Show You -- Increased Insight -- What, And Miss Television? -- Smudger Turns Up Trumps -- Physical After All. [by] Kingsley Amis."
The Book of the Goons,Contemporary Fiction,"LADIES, GENTLEMEN & DON'T KNOWS
NOW for your delectation and appreciation
Corgi Books
proudly presents ...
a complete and unabridged edition of an absolutely
astounding, outrageously funny, not-to-be-read-
standing-up-on-buses type of book that will turn
you on, freak you out and generally entertain ...
Yes, YOU have definitely got to experience ...
The Book of the Goons
a motley collection of Authentic Inter-Goonal
Correspondence between Peter Sellers, Harry
Secombe and Spike Milligan ... PLUS a
new selection of Spike Milligan's Goon
Show scripts."
Conjectures and Refutations: The Growth of Scientific Knowledge,,"Conjectures and Refutations is one of Karl Popper's most wide-ranging and popular works, notable not only for its acute insight into the way scientific knowledge grows, but also for applying those insights to politics and to history. It provides one of the clearest and most accessible statements of the fundamental idea that guided his work: not only our knowledge, but our aims and our standards, grow through an unending process of trial and error."
An Introduction to the Theory of Statistics,History,This book has been considered by academicians and scholars of great significance and value to literature. This forms a part of the knowledge base for future generations. So that the book is never forgotten we have represented this book in a print format as the same form as it was originally first published. Hence any marks or annotations seen are left intentionally to preserve its true nature.
The Craft of Musical Composition: Book 2 (Stap/067),"Arts & Photography,Music,Musical Genres",
"Traditional Harmony, Book I, Part 1: With Emphasis on Exercises and a Minimum of Rules","Theory Of Music & Musicology,Musical Scores, Lyrics & Libretti,Techniques Of Music / Music Tutorials",
Elementary Training for Musicians,Music,"Originally published in the 1940s, Paul Hindemith's remarkable textbooks are still the outstanding works of their kind. In contrast to many musical textbooks written by academic musicians, these were produced by a man who could play every instrument of the orchestra, could compose a satisfying piece for almost every kind of ensemble, and who was one of the most stimulating teachers of his day. It is therefore not surprising that nearly forty years later these books should remain essential reading for the student and the professional musician."
An Introduction to Data Structures with Applications,Reference Works,
Waiting For Godot,"Plays, Playscripts","Waiting for Godot, written directly in French in 1948, had its world premiere on January 5, 1953, in the tiny Left Bank Théâtre de Babylone 5n Paris. Although not an immediate success, by slow degrees, though word of mouth, Godot became the talk of Paris. As productions spread across the globe, reactions were varied, but the very controversy generated by the play tended to assure its ""success."" Rarely has a play labeled ""avant-garde"" become so quickly a ""classic.""

Weather it is Beckett's greatest work of drama remains for history to determine. Unquestionably, it is a work which has captured the imagination of our time—and perhaps all time. Though the battle of interpretation still rages around Waiting for Godot, it is now recognized as a seminal work of modern fiction ad has become a part of theater history. The author himself translated his play into English."
Out of Sight,Adventure stories,"Een politieagente wordt tijdens een bezoek in de gevangenis gegijzeld, maar gaat na haar vlucht op zoek naar haar belager."
Faust Among Equals,Humorous stories,"The management buy-out of Hell wasn't going quite as well as had been hoped. For a start, there had been that nasty business with the perjurors, and then came the news that the Most Wanted Man in History had escaped, and all just as the plans for the new theme park, EuroBosch, were underway."
Η ματωμένη εκστρατεία,"Alexander,Fiction","Ο συγγραφέας του μυθιστορήματος ""Οι πύλες της φωτιάς"" υπογράφει ένα συναρπαστικό μυθιστόρημα, που ξαναζωντανεύει την εισβολή του Μεγάλου Αλεξάνδρου στα 330 π.Χ. Στα βασίλεια που αργότερα θα αποτελέσουν το Αφγανιστάν. Μέσα από την αφήγηση του Μαντίθεου, ενός νεαρού στρατιώτη του πεζικού στο στρατό του Μ. Αλεξάνδρου, η ""Ματωμένη Εκστρατεία"" διερευνά τις προκλήσεις, στρατιωτικές και ηθικές, τις οποίες αντιμετωπίζουν ο Αλέξανδρος και ο στρατός του καθώς βρίσκονται αντιμέτωποι με μια πρωτόγνωρη μορφή πολέμου. Ένας επιθετικός στρατός της Δύσης, με ουμανιστικά ιδεώδη, συγκρούεται με τους άγριους λαούς της Ανατολής, που είναι αποφασισμένοι να υπερασπιστούν με κάθε θυσία τις εστίες τους. Ένα νεαρό αγόρι γίνεται άντρας μέσα στη φρίκη του πολέμου, γνωρίζει τις χαρές και τις λύπες του έρωτα, αντιμετωπίζει τη φρίκη των αντιπάλων, των συμπολεμιστών του, αλλά και τη δική του... Ένα βιβλίο που διαβάζεται απνευστί, μια κατάδυση στην ίδια τη φύση και την παθολογία του πολέμου, με όχημα και οδηγό τον τελευταίο των ανθρώπων, τον απλό στρατιώτη, την ελπίδα και την απελπισία του, απέναντι σ΄αυτό που ονομάζουμε ιστορική αναγκαιότητα και συγκυρία..."
Child The Family And The Outside World,Psychology,"Few experts have done more to present the world of children and parents to the general public than D.W. Winnicott. In this classic of child development, Winnicott explores problems of the only child, of stealing and lying, shyness, sex education in schools and the roots of aggression. 'His style is lucid, his manner friendly, and his years of experience provide much wise insight into child behaviour and parental attitudes' - British Journal of Psychology"
Musicophilia: Tales of Music and the Brain,"Music,Theory Of Music & Musicology,Physiological & Neuro-psychology, Biopsychology","Oliver Sacks has been hailed by the New York Times as 'one of the great clinical writers of the twentieth century'. In this eagerly awaited new book, the subject of his uniquely literate scrutiny is music: our relationship with it, our facility for it, and what this most universal of passions says about us. In chapters examining savants and synaesthetics, depressives and musical dreamers, Sacks succeeds not only in articulating the musical experience but in locating it in the human brain. He shows that music is not simply about sound, but also movement, visualization, and silence. He follows the experiences of patients suddenly drawn to or suddenly divorced from music. And in so doing he shows, as only he can, both the extraordinary spectrum of human expression and the capacity of music to heal. Wise, compassionate and compellingly readable, Musicophilia promises, like all the best writing, to alter our conception of who we are and how we function, to lend a fascinating insight into the mysteries of the mind, and to show us what it is to be human."
Σουέλ,Literary Collections,"- Ό,τι κι αν είναι αυτό, πες μου τι συμβαίνει.
- Το σουέλ μου 'βαλε μπελά στο μυαλό.
- Ποιος είναι ο πραγματικός λόγος που δε γυρίζεις;
- Η θάλασσα δεν με επιστρέφει.
- Τι γυρεύεις τώρα πια;
- Δεν έχω θέληση για στεριά.
Δώδεκα χρόνια μακριά από την οικογένειά του. Μακριά από τη στεριά, από τα αγαπημένα αλλά και λησμονημένα του πρόσωπα. Σπίτι του είναι πλέον το ATHOS III. O τόπος όπου αναμετριέται με τις μνήμες του. Το καταφύγιο όπου διαφυλάσσει ερμητικά κλεισμένα τα μυστικά του. Το μόνο μέρος απ' το οποίο μπορεί και παρακολουθεί -όπως εκείνος θέλει- τη σιωπηλή πορεία του να χαράσσεται ερήμην του· τη μοναξιά του συντροφιά με το σουέλ: το βουβό κυματισμό του ωκεανού."
RYA Start Powerboating,Motorboats,Rare Book
East Of Eden,Contemporary Fiction,The masterpiece of one of the greatest American writers of all time. East of Eden is an epic tale of good vs. evil with many biblical references and parallels. The story is ultimately that of good's triumph over evil and the human will's ability to make that happen.
Dinosaur Hunters,"Science & Math,Earth Sciences,Geology",
Dr. Fegg's Encyclopeadia of All World Knowledge: Formerly The Nasty Book,Anthologies (non-poetry),
The Pythons Autobiography by The Pythons,"Other Performing Arts,TV Tie-in Humour","For the first time all surviving Pythons have agreed to create the definitive story of Monty Python's Flying Circus and the 'genius' who created it. Over thirty years ago, a group of five Englishmen - and one wayward American - rewrote the rules of comedy. Monty Python's Flying Circus, an unheralded, previously unseen half-hour show of sketches, hilarities, inanities and animations, first appeared on the BBC late one night in 1969. Its impact has been felt on the world ever since. From its humble beginnings, it blossomed into the most influential movement in modern comedy. THE PYTHONS' AUTOBIOGRAPHY OF THE PYTHONS is a unique look at arguably the most important comic team of the modern age, lavishly illustrated with 1000 photographs, many culled from the team's own personal collections, many more seen for the first time. This is the definitive word on all things Pythonesque."
Requirements Analysis and System Design: Developing Information Systems with UML,Computers,"""The focus of the book is on developing large-scale, client/server, multi-tier object-oriented information systems. The client is a workstation with a GUI and the server manages a database. The client, server and middle-tier processes communicate via object messaging. The server database can be relational, object-relational or purely object-oriented."" ""The book can be used for undergraduate courses in computer science or information systems such as systems analysis, systems design, software engineering, databases and object technology, as well as being a valuable resource for software projects. The book has also been written for professionals developing business information systems, such as IT managers, application developers, consultants, analysts, designers, programmers, testers, software engineers, systems integrators and educators. The text is accompanied by a comprehensive website that contains a wealth of additional material for instructors, students and professionals.""--BOOK JACKET."
Electric Circuits,CD-ROMs,"For sophomore level, one- or two-semester Introductory Circuit Analysis or Circuit Theory Courses taught in Electrical or Computer Engineering Departments. Cited by IEEE Spectrum as an ""up and coming classic in the field of circuits,""Electric Circuits is the most widely used introductory circuits textbook. This revision of both text and robust supplements package features an increased emphasis on student and instructor assessment, a redesigned art program, a new four-color format, and abundant new or revised problems throughout. The Seventh Edition retains the goals that have made this text a best-seller: 1) to build an understanding of concepts and ideas explicitly in terms of previous learning; 2) to emphasize the relationship between conceptual understanding and problem solving approaches; 3) to provide students with a strong foundation of engineering practices."
New Worlds,"General & World History,Geographical Maps (specialist),Cartography, Map-making & Projections","Here, gathered from five centuries of exploration, are over 200 maps of oceans and continents, mountains and forests, cities and shires. Presented in chronological order, these maps record the adventures and discoveries of explorers, merchants and travelers. Taken together, they chart our discovery of the world as science, legend, politics and art are blended together by the cartographer's craft."
Pratchett's Discworld Calendar 2004.,,
Mort,"Sci-Fi & Fantasy,Fantasy","'Cracking dialogue, compelling illogic and unchained whimsy' Sunday Times

The Discworld is very much like our own - if our own were to consist of a flat planet balanced on the back of four elephants which stand on the back of a giant turtle, that is . . . 

Death comes to us all. When he came to Mort, he offered him a job.

Death is the Grim Reaper of the Discworld, a black-robed skeleton carrying a scythe who must collect a minimum number of souls in order to keep the momentum of dying, well . . . alive.

He is also fond of cats and endlessly baffled by humanity. Soon Death is yearning to experience what humanity really has to offer . . . but to do that, he'll need to hire some help. 

It's an offer Mort can't refuse. As Death's apprentice he'll have free board, use of the company horse - and being dead isn't compulsory. It's a dream job - until Mort falls in love with Death's daughter, Ysabell, and discovers that your boss can be a killer on your love life . . . 


The Discworld novels can be read in any order but Mort is the first book in the Death series."
